id,lon,lat,name
322,-72.0,41.0,wind_rose_W-72.00_N41.00.png
323,-71.75,41.25,wind_rose_W-71.75_N41.25.png
324,-71.5,41.75,wind_rose_W-71.50_N41.75.png
325,-71.5,41.5,wind_rose_W-71.50_N41.50.png
326,-71.5,41.25,wind_rose_W-71.50_N41.25.png
327,-71.25,41.75,wind_rose_W-71.25_N41.75.png
328,-71.25,41.5,wind_rose_W-71.25_N41.50.png
329,-71.0,42.5,wind_rose_W-71.00_N42.50.png
330,-71.0,42.25,wind_rose_W-71.00_N42.25.png
331,-70.75,43.25,wind_rose_W-70.75_N43.25.png
332,-71.0,41.5,wind_rose_W-71.00_N41.50.png
333,-70.75,43.0,wind_rose_W-70.75_N43.00.png
334,-70.75,42.75,wind_rose_W-70.75_N42.75.png
335,-70.75,42.5,wind_rose_W-70.75_N42.50.png
336,-70.75,42.25,wind_rose_W-70.75_N42.25.png
337,-70.75,42.0,wind_rose_W-70.75_N42.00.png
338,-70.5,43.5,wind_rose_W-70.50_N43.50.png
339,-70.75,41.75,wind_rose_W-70.75_N41.75.png
340,-70.5,43.25,wind_rose_W-70.50_N43.25.png
341,-70.75,41.5,wind_rose_W-70.75_N41.50.png
342,-70.75,41.25,wind_rose_W-70.75_N41.25.png
343,-70.5,42.75,wind_rose_W-70.50_N42.75.png
344,-70.5,42.5,wind_rose_W-70.50_N42.50.png
345,-70.25,43.75,wind_rose_W-70.25_N43.75.png
346,-70.5,42.0,wind_rose_W-70.50_N42.00.png
347,-70.25,43.5,wind_rose_W-70.25_N43.50.png
348,-70.5,41.75,wind_rose_W-70.50_N41.75.png
349,-70.5,41.5,wind_rose_W-70.50_N41.50.png
350,-70.5,41.25,wind_rose_W-70.50_N41.25.png
351,-70.0,43.75,wind_rose_W-70.00_N43.75.png
352,-70.25,42.0,wind_rose_W-70.25_N42.00.png
353,-70.25,41.75,wind_rose_W-70.25_N41.75.png
354,-70.25,41.25,wind_rose_W-70.25_N41.25.png
355,-69.75,44.0,wind_rose_W-69.75_N44.00.png
356,-69.75,43.75,wind_rose_W-69.75_N43.75.png
357,-70.0,42.0,wind_rose_W-70.00_N42.00.png
358,-70.0,41.75,wind_rose_W-70.00_N41.75.png
359,-70.0,41.5,wind_rose_W-70.00_N41.50.png
360,-70.0,41.25,wind_rose_W-70.00_N41.25.png
361,-69.5,44.0,wind_rose_W-69.50_N44.00.png
362,-69.5,43.75,wind_rose_W-69.50_N43.75.png
363,-69.25,44.0,wind_rose_W-69.25_N44.00.png
364,-69.0,44.5,wind_rose_W-69.00_N44.50.png
365,-69.0,44.25,wind_rose_W-69.00_N44.25.png
366,-69.0,44.0,wind_rose_W-69.00_N44.00.png
367,-68.75,44.5,wind_rose_W-68.75_N44.50.png
368,-68.75,44.25,wind_rose_W-68.75_N44.25.png
369,-68.5,44.5,wind_rose_W-68.50_N44.50.png
370,-68.5,44.25,wind_rose_W-68.50_N44.25.png
371,-68.25,44.25,wind_rose_W-68.25_N44.25.png
372,-68.0,44.5,wind_rose_W-68.00_N44.50.png
373,-67.75,44.5,wind_rose_W-67.75_N44.50.png
374,-67.5,44.75,wind_rose_W-67.50_N44.75.png
375,-67.5,44.5,wind_rose_W-67.50_N44.50.png
376,-67.25,44.75,wind_rose_W-67.25_N44.75.png
377,-67.0,45.25,wind_rose_W-67.00_N45.25.png
378,-67.0,45.0,wind_rose_W-67.00_N45.00.png
379,-67.0,44.75,wind_rose_W-67.00_N44.75.png
380,-67.0,44.5,wind_rose_W-67.00_N44.50.png
381,-66.75,45.25,wind_rose_W-66.75_N45.25.png
382,-66.75,45.0,wind_rose_W-66.75_N45.00.png
383,-66.75,44.75,wind_rose_W-66.75_N44.75.png
384,-66.5,45.25,wind_rose_W-66.50_N45.25.png
385,-66.5,45.0,wind_rose_W-66.50_N45.00.png
386,-66.25,45.25,wind_rose_W-66.25_N45.25.png
387,-66.25,45.0,wind_rose_W-66.25_N45.00.png
388,-66.25,44.5,wind_rose_W-66.25_N44.50.png
389,-66.25,44.25,wind_rose_W-66.25_N44.25.png
390,-66.25,44.0,wind_rose_W-66.25_N44.00.png
391,-66.25,43.75,wind_rose_W-66.25_N43.75.png
392,-66.0,45.25,wind_rose_W-66.00_N45.25.png
393,-66.0,44.5,wind_rose_W-66.00_N44.50.png
394,-66.0,44.25,wind_rose_W-66.00_N44.25.png
395,-66.0,43.75,wind_rose_W-66.00_N43.75.png
396,-65.75,45.25,wind_rose_W-65.75_N45.25.png
397,-65.75,44.75,wind_rose_W-65.75_N44.75.png
398,-65.5,45.5,wind_rose_W-65.50_N45.50.png
399,-65.75,43.75,wind_rose_W-65.75_N43.75.png
400,-65.5,45.25,wind_rose_W-65.50_N45.25.png
401,-65.75,43.5,wind_rose_W-65.75_N43.50.png
402,-65.5,45.0,wind_rose_W-65.50_N45.00.png
403,-65.5,44.75,wind_rose_W-65.50_N44.75.png
404,-65.25,45.5,wind_rose_W-65.25_N45.50.png
405,-65.5,43.5,wind_rose_W-65.50_N43.50.png
406,-65.25,45.0,wind_rose_W-65.25_N45.00.png
407,-65.0,45.75,wind_rose_W-65.00_N45.75.png
408,-65.0,45.5,wind_rose_W-65.00_N45.50.png
409,-65.25,43.75,wind_rose_W-65.25_N43.75.png
410,-65.0,45.25,wind_rose_W-65.00_N45.25.png
411,-65.25,43.5,wind_rose_W-65.25_N43.50.png
412,-65.0,45.0,wind_rose_W-65.00_N45.00.png
413,-64.75,45.75,wind_rose_W-64.75_N45.75.png
414,-64.75,45.5,wind_rose_W-64.75_N45.50.png
415,-65.0,43.75,wind_rose_W-65.00_N43.75.png
416,-64.75,45.25,wind_rose_W-64.75_N45.25.png
417,-64.5,45.75,wind_rose_W-64.50_N45.75.png
418,-64.75,44.0,wind_rose_W-64.75_N44.00.png
419,-64.5,45.5,wind_rose_W-64.50_N45.50.png
420,-64.75,43.75,wind_rose_W-64.75_N43.75.png
421,-64.5,45.25,wind_rose_W-64.50_N45.25.png
422,-64.5,44.25,wind_rose_W-64.50_N44.25.png
423,-64.5,44.0,wind_rose_W-64.50_N44.00.png
424,-64.25,45.5,wind_rose_W-64.25_N45.50.png
425,-64.25,45.25,wind_rose_W-64.25_N45.25.png
426,-64.25,44.5,wind_rose_W-64.25_N44.50.png
427,-64.25,44.25,wind_rose_W-64.25_N44.25.png
428,-64.0,45.5,wind_rose_W-64.00_N45.50.png
429,-64.0,45.25,wind_rose_W-64.00_N45.25.png
430,-64.0,44.75,wind_rose_W-64.00_N44.75.png
431,-64.0,44.5,wind_rose_W-64.00_N44.50.png
432,-63.75,45.5,wind_rose_W-63.75_N45.50.png
433,-63.75,45.25,wind_rose_W-63.75_N45.25.png
434,-63.75,44.5,wind_rose_W-63.75_N44.50.png
435,-63.5,45.5,wind_rose_W-63.50_N45.50.png
436,-63.5,45.25,wind_rose_W-63.50_N45.25.png
437,-63.5,44.75,wind_rose_W-63.50_N44.75.png
438,-63.5,44.5,wind_rose_W-63.50_N44.50.png
439,-63.25,44.75,wind_rose_W-63.25_N44.75.png
440,-63.0,44.75,wind_rose_W-63.00_N44.75.png
